model,horizon,mse_mean,mse_std,mae_mean,mae_std,val_loss_mean,runs
conv_transformer,90,368684.65,25641.57672399038,472.8467224121094,20.824777317666417,0.34504557919600376,5
conv_transformer,365,393137.2313,44267.9209042492,503.0419860839844,35.03408307635979,0.6380654614592252,5
lstm,90,302675.4188,16566.697277398325,417.84071655273436,9.793913065355836,0.3032535600073544,5
lstm,365,557084.5125,12380.589131261471,619.2434448242187,8.758019899121015,0.47456255351027393,5
transformer,90,290319.3438,22265.439868386045,425.5297607421875,19.089236735945438,0.28216637128665123,5
transformer,365,477609.6625,63745.32230347897,567.9894775390625,43.470107403279556,0.6446713382250643,5
